activity_id,employee_id,date,activity_name,wellness_dimension,participation_status,effort_level,individual_score,streak_days,wellness_engagement_score,burnout_risk,reward_points,reward_earned
ACT000023,EMP023,02-01-2025,Reflection Journaling,Mental,Completed,Low,20,14,62.8,37.2,48,Gym Membership
ACT000024,EMP024,02-01-2025,Creative Wellness Workshop,Creative,Completed,Medium,13,5,49.9,50.1,23,Wellness Kit
ACT000025,EMP025,02-01-2025,Creative Wellness Workshop,Creative,Completed,Medium,13,4,48.7,51.3,21,Wellness Kit
ACT000026,EMP026,02-01-2025,Mindfulness Session,Mental,Completed,Low,20,13,61.6,38.4,46,Gym Membership
ACT000027,EMP027,02-01-2025,Hydration Tracking,Physical,Completed,Low,20,2,48.4,51.6,24,Wellness Kit
ACT000028,EMP029,02-01-2025,Guided Meditation,Mental,Completed,High,32,18,71.2,28.8,68,Trip Ticket / Cash Prize
ACT000029,EMP030,02-01-2025,Screen-Free Break,Work-Life,Completed,Low,15,11,57.7,42.3,37,Extra Leave Day
ACT000030,EMP032,02-01-2025,Ergonomic Stretch Break,Physical,Skipped,Low,0,6,7.2,92.8,12,Gift Voucher
ACT000031,EMP033,02-01-2025,Gratitude Practice,Emotional,Completed,Low,15,23,72.1,27.9,61,Trip Ticket / Cash Prize
ACT000032,EMP034,02-01-2025,Creative Wellness Workshop,Creative,Completed,Low,10,23,70.6,29.4,56,Trip Ticket / Cash Prize
ACT000033,EMP035,02-01-2025,Walking Break,Physical,Completed,Medium,26,13,63.4,36.6,52,Trip Ticket / Cash Prize
ACT000034,EMP036,02-01-2025,Guided Meditation,Mental,Completed,Medium,26,24,76.6,23.4,74,Trip Ticket / Cash Prize
ACT000035,EMP037,02-01-2025,Mindfulness Session,Mental,Completed,Medium,26,5,53.8,46.2,36,Extra Leave Day
ACT000036,EMP038,02-01-2025,Gratitude Practice,Emotional,Skipped,Medium,0,8,9.6,90.4,16,Gift Voucher
ACT000037,EMP040,02-01-2025,Gratitude Practice,Emotional,Completed,Low,15,21,69.7,30.3,57,Trip Ticket / Cash Prize
ACT000038,EMP041,02-01-2025,Walking Break,Physical,Skipped,Low,0,12,14.4,85.6,24,Wellness Kit
ACT000039,EMP042,02-01-2025,Breathing Break,Mental,Skipped,Medium,0,4,4.8,95.2,8,Gift Voucher
ACT000040,EMP044,02-01-2025,Mindfulness Session,Mental,Completed,Low,20,0,46,54,20,Gift Voucher
ACT000041,EMP045,02-01-2025,Gratitude Practice,Emotional,Completed,High,24,4,52,48,32,Extra Leave Day
ACT000042,EMP046,02-01-2025,Breathing Break,Mental,Skipped,Low,0,16,19.2,80.8,32,Extra Leave Day
ACT000043,EMP047,02-01-2025,Creative Wellness Workshop,Creative,Completed,Low,10,16,62.2,37.8,42,Gym Membership
ACT000044,EMP049,02-01-2025,Gratitude Practice,Emotional,Skipped,Medium,0,5,6,94,10,Gift Voucher
ACT000045,EMP050,02-01-2025,Walking Break,Physical,Completed,Low,20,21,71.2,28.8,62,Trip Ticket / Cash Prize
ACT000046,EMP051,02-01-2025,Creative Wellness Workshop,Creative,Skipped,High,0,13,15.6,84.4,26,Wellness Kit
ACT000047,EMP054,02-01-2025,Walking Break,Physical,Completed,Low,20,24,74.8,25.2,68,Trip Ticket / Cash Prize
ACT000048,EMP055,02-01-2025,Reflection Journaling,Mental,Completed,Low,20,7,54.4,45.6,34,Extra Leave Day
ACT000049,EMP056,02-01-2025,Hydration Tracking,Physical,Completed,Low,20,11,59.2,40.8,42,Gym Membership
ACT000050,EMP057,02-01-2025,Creative Wellness Workshop,Creative,Completed,Low,10,11,56.2,43.8,32,Extra Leave Day
ACT000051,EMP058,02-01-2025,Hydration Tracking,Physical,Completed,Medium,26,8,57.4,42.6,42,Gym Membership
ACT000052,EMP059,02-01-2025,Gratitude Practice,Emotional,Completed,Low,15,18,66.1,33.9,51,Trip Ticket / Cash Prize
ACT000053,EMP061,02-01-2025,Screen-Free Break,Work-Life,Completed,Medium,19.5,9,56.6,43.4,37.5,Extra Leave Day
ACT000054,EMP062,02-01-2025,Guided Meditation,Mental,Completed,Low,20,9,56.8,43.2,38,Extra Leave Day
ACT000055,EMP063,02-01-2025,Gratitude Practice,Emotional,Skipped,Low,0,15,18,82,30,Wellness Kit
ACT000056,EMP064,02-01-2025,Ergonomic Stretch Break,Physical,Completed,High,32,5,55.6,44.4,42,Gym Membership
ACT000057,EMP065,02-01-2025,Breathing Break,Mental,Completed,Medium,26,1,49,51,28,Wellness Kit
ACT000058,EMP066,02-01-2025,Walking Break,Physical,Completed,Medium,26,3,51.4,48.6,32,Extra Leave Day
ACT000059,EMP067,02-01-2025,Guided Meditation,Mental,Completed,Medium,26,3,51.4,48.6,32,Extra Leave Day
ACT000060,EMP069,02-01-2025,Breathing Break,Mental,Skipped,Low,0,8,9.6,90.4,16,Gift Voucher
ACT000061,EMP070,02-01-2025,Ergonomic Stretch Break,Physical,Completed,Medium,26,2,50.2,49.8,30,Wellness Kit
ACT000062,EMP071,02-01-2025,Screen-Free Break,Work-Life,Completed,Medium,19.5,9,56.6,43.4,37.5,Extra Leave Day
ACT000063,EMP072,02-01-2025,Walking Break,Physical,Completed,Low,20,3,49.6,50.4,26,Wellness Kit
ACT000064,EMP074,02-01-2025,Ergonomic Stretch Break,Physical,Completed,Low,20,7,54.4,45.6,34,Extra Leave Day
ACT000065,EMP075,02-01-2025,Breathing Break,Mental,Skipped,Medium,0,12,14.4,85.6,24,Wellness Kit
ACT000066,EMP078,02-01-2025,Ergonomic Stretch Break,Physical,Completed,Medium,26,8,57.4,42.6,42,Gym Membership
ACT000067,EMP080,02-01-2025,Screen-Free Break,Work-Life,Skipped,High,0,17,20.4,79.6,34,Extra Leave Day
ACT000068,EMP081,02-01-2025,Guided Meditation,Mental,Completed,High,32,0,49.6,50.4,32,Extra Leave Day
ACT000069,EMP084,02-01-2025,Ergonomic Stretch Break,Physical,Completed,Low,20,13,61.6,38.4,46,Gym Membership
ACT000070,EMP086,02-01-2025,Gratitude Practice,Emotional,Completed,Medium,19.5,3,49.5,50.5,25.5,Wellness Kit
ACT000071,EMP087,02-01-2025,Hydration Tracking,Physical,Completed,Medium,26,3,51.4,48.6,32,Extra Leave Day
ACT000072,EMP088,02-01-2025,Mindfulness Session,Mental,Skipped,Low,0,4,4.8,95.2,8,Gift Voucher
ACT000073,EMP089,02-01-2025,Ergonomic Stretch Break,Physical,Completed,High,32,0,49.6,50.4,32,Extra Leave Day
ACT000074,EMP090,02-01-2025,Hydration Tracking,Physical,Completed,Medium,26,9,58.6,41.4,44,Gym Membership
ACT000075,EMP091,02-01-2025,Guided Meditation,Mental,Completed,Medium,26,18,69.4,30.6,62,Trip Ticket / Cash Prize
ACT000076,EMP092,02-01-2025,Screen-Free Break,Work-Life,Completed,Medium,19.5,12,60.2,39.8,43.5,Gym Membership
ACT000077,EMP093,02-01-2025,Breathing Break,Mental,Completed,Medium,26,0,47.8,52.2,26,Wellness Kit
ACT000078,EMP094,02-01-2025,Mindfulness Session,Mental,Completed,Medium,26,20,71.8,28.2,66,Trip Ticket / Cash Prize
ACT000079,EMP096,02-01-2025,Walking Break,Physical,Completed,Low,20,19,68.8,31.2,58,Trip Ticket / Cash Prize
ACT000080,EMP097,02-01-2025,Mindfulness Session,Mental,Completed,Low,20,25,76,24,70,Trip Ticket / Cash Prize
ACT000081,EMP098,02-01-2025,Gratitude Practice,Emotional,Completed,Low,15,21,69.7,30.3,57,Trip Ticket / Cash Prize
ACT000082,EMP099,02-01-2025,Walking Break,Physical,Completed,High,32,22,76,24,76,Trip Ticket / Cash Prize
ACT000083,EMP100,02-01-2025,Breathing Break,Mental,Completed,Low,20,19,68.8,31.2,58,Trip Ticket / Cash Prize
ACT000084,EMP101,02-01-2025,Mindfulness Session,Mental,Completed,Medium,26,21,73,27,68,Trip Ticket / Cash Prize
ACT000085,EMP103,02-01-2025,Hydration Tracking,Physical,Completed,Low,20,13,61.6,38.4,46,Gym Membership
ACT000086,EMP104,02-01-2025,Breathing Break,Mental,Completed,Low,20,12,60.4,39.6,44,Gym Membership
ACT000087,EMP105,02-01-2025,Hydration Tracking,Physical,Skipped,Low,0,18,21.6,78.4,36,Extra Leave Day
ACT000088,EMP106,02-01-2025,Walking Break,Physical,Completed,Medium,26,10,59.8,40.2,46,Gym Membership
ACT000089,EMP107,02-01-2025,Hydration Tracking,Physical,Completed,Medium,26,5,53.8,46.2,36,Extra Leave Day
ACT000090,EMP109,02-01-2025,Mindfulness Session,Mental,Completed,Low,20,5,52,48,30,Wellness Kit
ACT000091,EMP110,02-01-2025,Walking Break,Physical,Completed,Low,20,9,56.8,43.2,38,Extra Leave Day
ACT000092,EMP111,02-01-2025,Screen-Free Break,Work-Life,Completed,Low,15,24,73.3,26.7,63,Trip Ticket / Cash Prize
ACT000093,EMP113,02-01-2025,Screen-Free Break,Work-Life,Skipped,Low,0,23,27.6,72.4,46,Gym Membership
ACT000094,EMP114,02-01-2025,Hydration Tracking,Physical,Completed,Medium,26,20,71.8,28.2,66,Trip Ticket / Cash Prize
ACT000095,EMP115,02-01-2025,Gratitude Practice,Emotional,Skipped,Low,0,21,25.2,74.8,42,Gym Membership
ACT000096,EMP116,02-01-2025,Creative Wellness Workshop,Creative,Completed,Low,10,5,49,51,20,Gift Voucher
ACT000097,EMP117,02-01-2025,Reflection Journaling,Mental,Completed,Medium,26,25,77.8,22.2,76,Trip Ticket / Cash Prize
ACT000098,EMP118,02-01-2025,Screen-Free Break,Work-Life,Completed,High,24,17,67.6,32.4,58,Trip Ticket / Cash Prize
ACT000099,EMP119,02-01-2025,Guided Meditation,Mental,Skipped,Medium,0,6,7.2,92.8,12,Gift Voucher
ACT000100,EMP120,02-01-2025,Ergonomic Stretch Break,Physical,Completed,Low,20,16,65.2,34.8,52,Trip Ticket / Cash Prize
ACT000101,EMP121,02-01-2025,Mindfulness Session,Mental,Completed,Medium,26,5,53.8,46.2,36,Extra Leave Day
ACT000102,EMP122,02-01-2025,Screen-Free Break,Work-Life,Completed,High,24,5,53.2,46.8,34,Extra Leave Day
ACT000103,EMP124,02-01-2025,Hydration Tracking,Physical,Completed,Medium,26,11,61,39,48,Gym Membership
ACT000104,EMP125,02-01-2025,Reflection Journaling,Mental,Completed,Low,20,11,59.2,40.8,42,Gym Membership
ACT000105,EMP126,02-01-2025,Hydration Tracking,Physical,Completed,Medium,26,4,52.6,47.4,34,Extra Leave Day
ACT000106,EMP127,02-01-2025,Guided Meditation,Mental,Completed,Low,20,2,48.4,51.6,24,Wellness Kit
ACT000107,EMP128,02-01-2025,Creative Wellness Workshop,Creative,Completed,Medium,13,16,63.1,36.9,45,Gym Membership
ACT000108,EMP129,02-01-2025,Gratitude Practice,Emotional,Completed,Medium,19.5,24,74.6,25.4,67.5,Trip Ticket / Cash Prize
ACT000109,EMP130,02-01-2025,Ergonomic Stretch Break,Physical,Completed,High,32,8,59.2,40.8,48,Gym Membership
ACT000110,EMP132,02-01-2025,Hydration Tracking,Physical,Completed,Low,20,24,74.8,25.2,68,Trip Ticket / Cash Prize
ACT000111,EMP133,02-01-2025,Gratitude Practice,Emotional,Completed,High,24,25,77.2,22.8,74,Trip Ticket / Cash Prize
ACT000112,EMP134,02-01-2025,Ergonomic Stretch Break,Physical,Skipped,Low,0,24,28.8,71.2,48,Gym Membership
ACT000113,EMP135,02-01-2025,Screen-Free Break,Work-Life,Completed,Medium,19.5,0,45.9,54.1,19.5,Gift Voucher
ACT000114,EMP136,02-01-2025,Hydration Tracking,Physical,Completed,Medium,26,21,73,27,68,Trip Ticket / Cash Prize
ACT000115,EMP137,02-01-2025,Ergonomic Stretch Break,Physical,Completed,Medium,26,18,69.4,30.6,62,Trip Ticket / Cash Prize
ACT000116,EMP138,02-01-2025,Mindfulness Session,Mental,Completed,Low,20,5,52,48,30,Wellness Kit
ACT000117,EMP140,02-01-2025,Mindfulness Session,Mental,Completed,Medium,26,8,57.4,42.6,42,Gym Membership
ACT000118,EMP141,02-01-2025,Reflection Journaling,Mental,Completed,Low,20,3,49.6,50.4,26,Wellness Kit
ACT000119,EMP144,02-01-2025,Breathing Break,Mental,Skipped,Medium,0,8,9.6,90.4,16,Gift Voucher
ACT000120,EMP145,02-01-2025,Hydration Tracking,Physical,Completed,Low,20,6,53.2,46.8,32,Extra Leave Day
ACT000121,EMP148,02-01-2025,Guided Meditation,Mental,Completed,Medium,26,4,52.6,47.4,34,Extra Leave Day
ACT000122,EMP149,02-01-2025,Gratitude Practice,Emotional,Completed,Medium,19.5,23,73.4,26.6,65.5,Trip Ticket / Cash Prize
ACT000123,EMP150,02-01-2025,Gratitude Practice,Emotional,Completed,Low,15,19,67.3,32.7,53,Trip Ticket / Cash Prize
ACT000124,EMP152,02-01-2025,Screen-Free Break,Work-Life,Completed,Low,15,1,45.7,54.3,17,Gift Voucher
ACT000125,EMP153,02-01-2025,Gratitude Practice,Emotional,Skipped,Low,0,24,28.8,71.2,48,Gym Membership
ACT000126,EMP154,02-01-2025,Ergonomic Stretch Break,Physical,Skipped,Medium,0,4,4.8,95.2,8,Gift Voucher
ACT000127,EMP155,02-01-2025,Ergonomic Stretch Break,Physical,Completed,Medium,26,16,67,33,58,Trip Ticket / Cash Prize
ACT000128,EMP156,02-01-2025,Mindfulness Session,Mental,Completed,High,32,19,72.4,27.6,70,Trip Ticket / Cash Prize
ACT000129,EMP157,02-01-2025,Walking Break,Physical,Skipped,Medium,0,16,19.2,80.8,32,Extra Leave Day
ACT000130,EMP159,02-01-2025,Ergonomic Stretch Break,Physical,Completed,Medium,26,5,53.8,46.2,36,Extra Leave Day
ACT000131,EMP160,02-01-2025,Walking Break,Physical,Completed,Low,20,22,72.4,27.6,64,Trip Ticket / Cash Prize
ACT000132,EMP161,02-01-2025,Screen-Free Break,Work-Life,Skipped,Medium,0,15,18,82,30,Wellness Kit
ACT000133,EMP162,02-01-2025,Gratitude Practice,Emotional,Skipped,Low,0,24,28.8,71.2,48,Gym Membership
ACT000134,EMP164,02-01-2025,Ergonomic Stretch Break,Physical,Completed,Medium,26,16,67,33,58,Trip Ticket / Cash Prize
ACT000135,EMP165,02-01-2025,Ergonomic Stretch Break,Physical,Completed,High,32,0,49.6,50.4,32,Extra Leave Day
ACT000136,EMP166,02-01-2025,Walking Break,Physical,Skipped,Low,0,19,22.8,77.2,38,Extra Leave Day
ACT000137,EMP167,02-01-2025,Gratitude Practice,Emotional,Skipped,Low,0,16,19.2,80.8,32,Extra Leave Day
ACT000138,EMP169,02-01-2025,Mindfulness Session,Mental,Skipped,Low,0,20,24,76,40,Extra Leave Day
ACT000139,EMP171,02-01-2025,Creative Wellness Workshop,Creative,Skipped,Low,0,14,16.8,83.2,28,Wellness Kit
ACT000140,EMP173,02-01-2025,Reflection Journaling,Mental,Completed,Low,20,3,49.6,50.4,26,Wellness Kit
ACT000141,EMP174,02-01-2025,Gratitude Practice,Emotional,Completed,Low,15,15,62.5,37.5,45,Gym Membership
ACT000142,EMP175,02-01-2025,Mindfulness Session,Mental,Skipped,Medium,0,9,10.8,89.2,18,Gift Voucher
ACT000143,EMP177,02-01-2025,Ergonomic Stretch Break,Physical,Skipped,High,0,14,16.8,83.2,28,Wellness Kit
ACT000144,EMP181,02-01-2025,Screen-Free Break,Work-Life,Completed,Low,15,20,68.5,31.5,55,Trip Ticket / Cash Prize
ACT000145,EMP182,02-01-2025,Gratitude Practice,Emotional,Completed,Low,15,6,51.7,48.3,27,Wellness Kit
ACT000146,EMP183,02-01-2025,Guided Meditation,Mental,Skipped,Low,0,0,0,100,0,None
ACT000147,EMP184,02-01-2025,Guided Meditation,Mental,Skipped,Medium,0,8,9.6,90.4,16,Gift Voucher
ACT000148,EMP186,02-01-2025,Ergonomic Stretch Break,Physical,Skipped,Low,0,5,6,94,10,Gift Voucher
ACT000149,EMP187,02-01-2025,Walking Break,Physical,Skipped,High,0,21,25.2,74.8,42,Gym Membership
ACT000150,EMP188,02-01-2025,Screen-Free Break,Work-Life,Completed,Low,15,10,56.5,43.5,35,Extra Leave Day
ACT000151,EMP189,02-01-2025,Walking Break,Physical,Completed,Medium,26,24,76.6,23.4,74,Trip Ticket / Cash Prize
ACT000152,EMP190,02-01-2025,Breathing Break,Mental,Completed,Medium,26,13,63.4,36.6,52,Trip Ticket / Cash Prize
ACT000153,EMP191,02-01-2025,Mindfulness Session,Mental,Completed,Medium,26,2,50.2,49.8,30,Wellness Kit
ACT000154,EMP192,02-01-2025,Creative Wellness Workshop,Creative,Completed,Medium,13,16,63.1,36.9,45,Gym Membership
ACT000155,EMP193,02-01-2025,Gratitude Practice,Emotional,Skipped,Low,0,3,3.6,96.4,6,Gift Voucher
ACT000156,EMP195,02-01-2025,Reflection Journaling,Mental,Completed,High,32,24,78.4,21.6,80,Trip Ticket / Cash Prize
ACT000157,EMP196,02-01-2025,Ergonomic Stretch Break,Physical,Completed,Low,20,16,65.2,34.8,52,Trip Ticket / Cash Prize
ACT000158,EMP197,02-01-2025,Guided Meditation,Mental,Completed,Medium,26,20,71.8,28.2,66,Trip Ticket / Cash Prize
ACT000159,EMP198,02-01-2025,Creative Wellness Workshop,Creative,Completed,High,16,12,59.2,40.8,40,Extra Leave Day
ACT000160,EMP199,02-01-2025,Hydration Tracking,Physical,Completed,High,32,23,77.2,22.8,78,Trip Ticket / Cash Prize
ACT000161,EMP203,02-01-2025,Mindfulness Session,Mental,Completed,Low,20,5,52,48,30,Wellness Kit
ACT000162,EMP204,02-01-2025,Ergonomic Stretch Break,Physical,Completed,Low,20,0,46,54,20,Gift Voucher
ACT000163,EMP206,02-01-2025,Gratitude Practice,Emotional,Completed,Low,15,13,60.1,39.9,41,Gym Membership
ACT000164,EMP208,02-01-2025,Gratitude Practice,Emotional,Skipped,Medium,0,0,0,100,0,None
ACT000165,EMP210,02-01-2025,Creative Wellness Workshop,Creative,Skipped,Low,0,8,9.6,90.4,16,Gift Voucher
ACT000166,EMP211,02-01-2025,Breathing Break,Mental,Completed,High,32,19,72.4,27.6,70,Trip Ticket / Cash Prize
ACT000167,EMP212,02-01-2025,Ergonomic Stretch Break,Physical,Skipped,Medium,0,23,27.6,72.4,46,Gym Membership
ACT000168,EMP213,02-01-2025,Ergonomic Stretch Break,Physical,Skipped,Low,0,2,2.4,97.6,4,Gift Voucher
ACT000169,EMP214,02-01-2025,Hydration Tracking,Physical,Completed,Low,20,16,65.2,34.8,52,Trip Ticket / Cash Prize
ACT000170,EMP215,02-01-2025,Guided Meditation,Mental,Completed,Low,20,25,76,24,70,Trip Ticket / Cash Prize
ACT000171,EMP216,02-01-2025,Ergonomic Stretch Break,Physical,Completed,Low,20,11,59.2,40.8,42,Gym Membership
ACT000172,EMP217,02-01-2025,Hydration Tracking,Physical,Skipped,Medium,0,15,18,82,30,Wellness Kit
ACT000173,EMP219,02-01-2025,Creative Wellness Workshop,Creative,Completed,High,16,12,59.2,40.8,40,Extra Leave Day
ACT000174,EMP220,02-01-2025,Breathing Break,Mental,Skipped,Low,0,13,15.6,84.4,26,Wellness Kit
ACT000175,EMP221,02-01-2025,Creative Wellness Workshop,Creative,Skipped,Medium,0,1,1.2,98.8,2,Gift Voucher
ACT000176,EMP222,02-01-2025,Walking Break,Physical,Completed,Low,20,23,73.6,26.4,66,Trip Ticket / Cash Prize
ACT000177,EMP223,02-01-2025,Hydration Tracking,Physical,Skipped,Medium,0,18,21.6,78.4,36,Extra Leave Day
ACT000178,EMP224,02-01-2025,Hydration Tracking,Physical,Completed,Medium,26,7,56.2,43.8,40,Extra Leave Day
ACT000179,EMP225,02-01-2025,Creative Wellness Workshop,Creative,Skipped,Low,0,15,18,82,30,Wellness Kit
ACT000180,EMP226,02-01-2025,Gratitude Practice,Emotional,Completed,Medium,19.5,23,73.4,26.6,65.5,Trip Ticket / Cash Prize
ACT000181,EMP227,02-01-2025,Gratitude Practice,Emotional,Completed,Medium,19.5,5,51.9,48.1,29.5,Wellness Kit
ACT000182,EMP228,02-01-2025,Reflection Journaling,Mental,Skipped,Low,0,5,6,94,10,Gift Voucher
ACT000183,EMP230,02-01-2025,Walking Break,Physical,Skipped,Low,0,13,15.6,84.4,26,Wellness Kit
ACT000184,EMP232,02-01-2025,Guided Meditation,Mental,Skipped,Low,0,18,21.6,78.4,36,Extra Leave Day
ACT000185,EMP233,02-01-2025,Ergonomic Stretch Break,Physical,Completed,Medium,26,9,58.6,41.4,44,Gym Membership
ACT000186,EMP234,02-01-2025,Mindfulness Session,Mental,Completed,Medium,26,23,75.4,24.6,72,Trip Ticket / Cash Prize
ACT000187,EMP235,02-01-2025,Breathing Break,Mental,Skipped,Low,0,11,13.2,86.8,22,Wellness Kit
ACT000188,EMP236,02-01-2025,Gratitude Practice,Emotional,Completed,Medium,19.5,18,67.4,32.6,55.5,Trip Ticket / Cash Prize
ACT000189,EMP237,02-01-2025,Mindfulness Session,Mental,Completed,Low,20,15,64,36,50,Gym Membership
ACT000190,EMP238,02-01-2025,Screen-Free Break,Work-Life,Skipped,Medium,0,8,9.6,90.4,16,Gift Voucher
ACT000191,EMP239,02-01-2025,Mindfulness Session,Mental,Completed,Medium,26,1,49,51,28,Wellness Kit
ACT000192,EMP240,02-01-2025,Guided Meditation,Mental,Completed,Low,20,13,61.6,38.4,46,Gym Membership
ACT000193,EMP241,02-01-2025,Reflection Journaling,Mental,Completed,Low,20,20,70,30,60,Trip Ticket / Cash Prize
ACT000194,EMP242,02-01-2025,Gratitude Practice,Emotional,Completed,Medium,19.5,25,75.8,24.2,69.5,Trip Ticket / Cash Prize
ACT000195,EMP243,02-01-2025,Hydration Tracking,Physical,Completed,High,32,6,56.8,43.2,44,Gym Membership
ACT000196,EMP244,02-01-2025,Hydration Tracking,Physical,Completed,Low,20,22,72.4,27.6,64,Trip Ticket / Cash Prize
ACT000197,EMP245,02-01-2025,Creative Wellness Workshop,Creative,Skipped,Medium,0,24,28.8,71.2,48,Gym Membership
ACT000198,EMP247,02-01-2025,Ergonomic Stretch Break,Physical,Completed,Medium,26,6,55,45,38,Extra Leave Day
ACT000199,EMP248,02-01-2025,Ergonomic Stretch Break,Physical,Completed,Low,20,9,56.8,43.2,38,Extra Leave Day
ACT000200,EMP249,02-01-2025,Mindfulness Session,Mental,Skipped,Low,0,25,30,70,50,Gym Membership
ACT000201,EMP250,02-01-2025,Screen-Free Break,Work-Life,Skipped,Medium,0,9,10.8,89.2,18,Gift Voucher
ACT000202,EMP003,03-01-2025,Guided Meditation,Mental,Completed,High,32,1,50.8,49.2,34,Extra Leave Day
ACT000203,EMP008,03-01-2025,Mindfulness Session,Mental,Completed,Low,20,3,49.6,50.4,26,Wellness Kit
ACT000204,EMP013,03-01-2025,Ergonomic Stretch Break,Physical,Completed,Low,20,18,67.6,32.4,56,Trip Ticket / Cash Prize
ACT000205,EMP014,03-01-2025,Screen-Free Break,Work-Life,Completed,Low,15,19,67.3,32.7,53,Trip Ticket / Cash Prize
ACT000206,EMP016,03-01-2025,Hydration Tracking,Physical,Completed,Low,20,16,65.2,34.8,52,Trip Ticket / Cash Prize
ACT000207,EMP028,03-01-2025,Gratitude Practice,Emotional,Completed,Low,15,16,63.7,36.3,47,Gym Membership
ACT000208,EMP031,03-01-2025,Hydration Tracking,Physical,Completed,Medium,26,19,70.6,29.4,64,Trip Ticket / Cash Prize
ACT000209,EMP039,03-01-2025,Walking Break,Physical,Completed,Low,20,18,67.6,32.4,56,Trip Ticket / Cash Prize
ACT000210,EMP043,03-01-2025,Reflection Journaling,Mental,Completed,Medium,26,18,69.4,30.6,62,Trip Ticket / Cash Prize
ACT000211,EMP048,03-01-2025,Reflection Journaling,Mental,Completed,High,32,23,77.2,22.8,78,Trip Ticket / Cash Prize
ACT000212,EMP052,03-01-2025,Mindfulness Session,Mental,Skipped,Medium,0,9,10.8,89.2,18,Gift Voucher
ACT000213,EMP053,03-01-2025,Gratitude Practice,Emotional,Completed,Low,15,6,51.7,48.3,27,Wellness Kit
ACT000214,EMP060,03-01-2025,Hydration Tracking,Physical,Completed,Low,20,17,66.4,33.6,54,Trip Ticket / Cash Prize
ACT000215,EMP068,03-01-2025,Breathing Break,Mental,Completed,Low,20,8,55.6,44.4,36,Extra Leave Day
ACT000216,EMP073,03-01-2025,Screen-Free Break,Work-Life,Skipped,High,0,18,21.6,78.4,36,Extra Leave Day
ACT000217,EMP076,03-01-2025,Walking Break,Physical,Completed,High,32,21,74.8,25.2,74,Trip Ticket / Cash Prize
ACT000218,EMP077,03-01-2025,Mindfulness Session,Mental,Completed,Medium,26,9,58.6,41.4,44,Gym Membership
ACT000219,EMP079,03-01-2025,Breathing Break,Mental,Skipped,High,0,8,9.6,90.4,16,Gift Voucher
ACT000220,EMP082,03-01-2025,Ergonomic Stretch Break,Physical,Completed,Medium,26,10,59.8,40.2,46,Gym Membership
ACT000221,EMP083,03-01-2025,Reflection Journaling,Mental,Completed,Low,20,21,71.2,28.8,62,Trip Ticket / Cash Prize
